Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",122.480000,-104.500000,180.000000,top
"C2","10u","C_0603_1608Metric",131.725000,-104.050000,180.000000,top
"C3","100n","C_0402_1005Metric",139.500000,-101.770000,-90.000000,top
"C4","10p","C_0402_1005Metric",125.750000,-96.020000,-90.000000,top
"C5","100n","C_0402_1005Metric",141.180000,-90.500000,0.000000,top
"C6","100n","C_0402_1005Metric",127.350000,-96.980000,90.000000,top
"C7","10p","C_0402_1005Metric",125.500000,-93.020000,90.000000,top
"C8","2.2u","C_0402_1005Metric",138.000000,-103.030000,-90.000000,top
"C9","100n","C_0402_1005Metric",131.750000,-102.800000,180.000000,top
"C10","10u","C_0603_1608Metric",151.975000,-90.550000,180.000000,top
"C11","22u","C_0805_2012Metric",147.250000,-85.250000,-90.000000,top
"C12","0.1u","C_0402_1005Metric",150.020000,-100.300000,0.000000,top
"C13","0.1u","C_0402_1005Metric",147.250000,-95.270000,90.000000,top
"C14","220u","CP_EIA-3528-12_Kemet-T",153.250000,-104.750000,180.000000,top
"C15","220u","CP_EIA-3528-12_Kemet-T",158.000000,-103.950000,90.000000,top
"C16","2.2u","C_0402_1005Metric",142.800000,-91.600000,90.000000,top
"C17","100n","C_0402_1005Metric",131.250000,-88.000000,0.000000,top
"C18","1u","C_0402_1005Metric",144.750000,-108.305000,90.000000,top
"C19","1u","C_0402_1005Metric",143.500000,-108.360000,90.000000,top
"C20","0.1u","C_0402_1005Metric",150.750000,-97.800000,180.000000,top
"C21","0.1u","C_0402_1005Metric",169.020000,-107.500000,0.000000,top
"C22","0.1u","C_0402_1005Metric",144.250000,-100.230000,-90.000000,top
"C23","1u","C_0402_1005Metric",145.500000,-102.000000,-90.000000,top
"C24","10n","C_0402_1005Metric",146.750000,-102.000000,-90.000000,top
"C25","1u","C_0402_1005Metric",149.270000,-103.500000,180.000000,top
"C26","10u","C_0603_1608Metric",162.975000,-94.450000,0.000000,top
"C27","22u","C_0805_2012Metric",168.000000,-99.500000,90.000000,top
"C28","10u","C_0603_1608Metric",163.500000,-90.700000,180.000000,top
"C29","22u","C_0805_2012Metric",158.500000,-85.400000,-90.000000,top
"C30","100n","C_0402_1005Metric",127.000000,-91.550000,180.000000,top
"D1","LED","D_0603_1608Metric",144.250000,-85.050000,90.000000,top
"D2","LED","D_0603_1608Metric",125.462500,-104.500000,180.000000,top
"D3","LED","D_0603_1608Metric",121.750000,-85.300000,0.000000,top
"FB1","FerriteBead","D_0603_1608Metric",149.037500,-101.800000,0.000000,top
"J1","AudioJack4","Jack_3.5mm_PJ320D_Horizontal",163.000000,-112.550000,90.000000,top
"J2","AudioJack4","Jack_3.5mm_PJ320D_Horizontal",150.750000,-112.720000,90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",160.830000,-77.000000,-90.000000,top
"J4","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_XKB_U262-16XN-4BVC11",176.855000,-92.750000,90.000000,top
"R1","10k","R_0402_1005Metric",125.490000,-101.000000,180.000000,top
"R2","10k","R_0402_1005Metric",131.500000,-84.800000,-90.000000,top
"R3","2.2k","R_0402_1005Metric",150.240000,-96.250000,0.000000,top
"R4","5.1k","R_0402_1005Metric",170.740000,-94.250000,180.000000,top
"R5","5.1k","R_0402_1005Metric",170.990000,-91.250000,180.000000,top
"R6","4.7k","R_0402_1005Metric",133.500000,-86.810000,-90.000000,top
"R7","4.7k","R_0402_1005Metric",134.750000,-86.810000,-90.000000,top
"R8","10k","R_0402_1005Metric",136.500000,-87.410000,-90.000000,top
"R9","1k5","R_0402_1005Metric",145.010000,-87.300000,0.000000,top
"R10","1k5","R_0402_1005Metric",129.490000,-107.500000,0.000000,top
"R11","1k5","R_0402_1005Metric",121.000000,-87.540000,-90.000000,top
"RESET","SW_Push","EL23520JLFS",121.750000,-112.500000,-90.000000,top
"RV1","R_Potentiometer","TRIM_3362P-1-103LF",134.750000,-112.750000,0.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",125.750000,-77.500000,180.000000,top
"SW3","SW_SPDT","SW_SPDT_PCM12",137.250000,-77.475000,180.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",134.750000,-95.300000,0.000000,top
"U2","SGTL5000XNLA3","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",146.840000,-98.600000,90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",152.000000,-85.300000,90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",163.250000,-85.300000,90.000000,top
"U5","AMS1117-1.5","SOT-223-3_TabPin2",163.250000,-99.700000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",123.150000,-93.830000,90.000000,top
